loss,accuracy,val_loss,val_accuracy,time
2.384172201156616,0.21190476417541504,2.263317346572876,0.25952380895614624,3.4648830890655518
2.001216411590576,0.3920387029647827,1.6888242959976196,0.6086309552192688,4.170709133148193
1.3737075328826904,0.7749255895614624,1.0622771978378296,0.9744047522544861,4.6912689208984375
0.8440029621124268,0.9632440209388733,0.6401005387306213,0.9833333492279053,5.327362775802612
0.5185872316360474,0.9852678775787354,0.3990200161933899,0.9961309432983398,5.922472953796387
0.3337380886077881,0.9913690686225891,0.257849782705307,0.9922618865966797,6.4968647956848145
0.22396524250507355,0.9936755895614624,0.1738997846841812,0.9976190328598022,7.185146331787109
0.1550758332014084,0.9956101179122925,0.1211850643157959,0.9985119104385376,7.704561948776245
0.11046044528484344,0.9970982074737549,0.08613959699869156,0.9985119104385376,8.211286783218384
0.0799667239189148,0.9973958134651184,0.06276726722717285,0.9988095164299011,8.724424600601196
